,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,6.15142,0.33365655,6.040148,8.83099,2.3383646,12.494551,-6.559089,3.239196,3.1309206,-1.0509862,-4.0797954,2.1560147,2.9173884,6.955175,-14.648854,-2.8275378,3.2049239,-2.7980123,-3.626874,12.189317,3.4497066,2.3297443,-3.1076725,-3.624585,1.2084285,2.0688634,-8.015548,-2.1947699,0.094417274,-5.1350107,0.66099226,-2.582589,11.258945,2.7839656,-3.8664932,-2.3245494,10.332524,-0.9020979,-3.3989189,-0.9260955,-2.7113538,7.2763467,-10.3657,5.1315207,-4.5750284,7.1219954,6.9272866,-6.7076354,-3.96935,5.6769743,-7.446208,-5.781631,-1.4190727,16.125402,14.516104,6.657868,-15.10199,9.529386,-8.323931,3.9346704,4.527981,-2.7591465,2.3192983,9.337221,0.10703643,2.4465365,-1.5870697,1.1610925,-6.011879,8.00424,14.617411,-11.823403,3.6069603,-9.566683,-4.4324403,12.455446,7.248651,-3.4667573,-0.9706327,-14.359618,6.0062766,-14.860269,-0.88591665,9.142073,-1.3097816,9.240229,-2.6139848,-0.1993958,11.019384,2.5310743,13.709741,-2.1005588,6.7877293,-2.1479933,0.3066164,-2.2086651,3.5784917,0.8339337,-6.2319903,-6.5636635,5.2011833,-1.7705462,-10.975294,-0.5721055,-0.8560596,-2.2069972,12.710848,2.407685,-4.6164317,-12.5698395,-10.253655,7.581988,-11.2064,10.43592,-0.60140896,3.0986514,-6.9324827,-8.875928,2.7773461,10.048755,3.9381168,-13.749594,4.75134,10.455751,7.1322255,-2.8906996,3.3513198,-3.4901023
1,7.1309075,-2.4728184,10.013087,10.400384,-1.7940197,28.562597,-9.798813,2.4516695,19.501259,3.2103643,-7.202087,9.928431,10.556504,20.534119,-16.866455,1.6716168,4.692885,-11.02615,-3.231981,30.22112,4.6363196,6.7213764,-3.4392693,-11.584368,-5.8878694,2.222269,-12.465778,-1.9712386,5.5939264,-7.9221177,-6.8014197,-3.335621,22.073545,9.913363,-11.673414,0.87576747,13.778392,-1.9584202,-14.283698,1.7991966,-2.3204758,15.644923,-26.059593,11.081528,-6.6199694,13.3913965,13.044047,-6.3451366,-4.4876094,10.859999,-13.7513895,-15.653223,-2.3490376,24.903051,23.96811,18.625563,-23.31406,22.379248,-24.210232,9.666877,2.8981879,-4.896407,5.100038,19.299807,-7.69895,11.802543,-6.8687115,4.226552,-21.019094,7.93912,21.035099,-28.856785,18.650442,-8.907769,-15.671123,17.63726,9.217356,-5.9422617,4.958174,-19.896156,7.4630156,-26.832588,4.487426,13.801223,-4.6105685,11.686586,-8.6531315,-7.9321494,28.043863,-8.664268,25.865082,-5.242965,28.799679,-10.4967165,-1.6785836,-8.868135,7.4812922,6.527333,-15.369314,-15.425903,3.7054353,0.47875553,-21.702168,-2.2680635,9.654337,6.918197,21.025484,10.878155,-4.0047226,-12.630813,-13.778883,4.983657,-15.410877,31.842062,-10.085755,17.730556,-7.0404644,-3.4652524,4.5134754,27.921898,5.6705823,-30.810257,7.9345646,24.557253,12.809883,-5.6564264,7.196014,-10.406828
2,6.799173,-2.9223847,8.72842,8.431259,0.777093,19.423775,-7.0448656,2.3405068,14.024766,2.4023829,-4.7769623,6.446689,7.8150654,12.863694,-15.352592,2.283961,0.69202405,-8.198512,-0.83523756,22.428684,3.405694,5.8020086,-3.5867114,-6.8384256,-5.2616773,0.8555411,-9.269658,-1.5158681,3.8775356,-5.921832,-4.9636846,-1.8210477,17.1616,7.075767,-9.179764,-0.7094893,6.916154,-2.2387319,-9.305339,0.49363762,-2.6369946,11.506767,-18.546835,7.110414,-5.0250583,9.184046,9.156402,-4.1861157,-5.2608767,10.411936,-9.220639,-10.726147,-1.0123793,17.04295,17.52991,12.936664,-18.66299,17.320568,-17.51053,6.0350366,2.9809809,-3.0611088,3.1530752,15.793652,-5.4341397,9.115963,-4.3239393,1.3157212,-17.01484,5.938931,16.91527,-19.586235,13.225681,-6.449379,-11.541126,12.679026,7.06179,-5.109317,2.91811,-12.330487,6.4957485,-19.914608,-0.41386935,12.420076,-1.5941947,9.41132,-7.606105,-5.724868,18.287994,-5.889066,19.276012,-5.645523,19.027056,-6.8055415,-1.361373,-5.9564443,6.3079705,2.2294724,-10.410156,-9.680171,3.7662268,-1.7799089,-16.42172,-2.259294,5.777974,6.4980755,14.959883,8.52313,-2.2664037,-11.595238,-10.747458,5.64079,-12.343456,25.204584,-6.903508,12.152546,-7.0395904,-4.6912265,3.9679036,18.207602,4.9442406,-20.740717,5.283004,15.949209,8.848972,-6.08576,6.6204095,-7.4188437
3,8.414513,17.702202,16.283413,12.450514,-0.05256621,46.959484,-32.237095,18.690104,25.403795,-9.80082,-4.4649353,4.850199,15.412776,14.137953,-32.498367,9.841246,13.8309145,-8.659907,-10.457974,46.744247,3.424209,2.4910703,-0.41606975,-22.092205,-10.326989,4.0974264,-23.505976,-15.491499,0.25756878,-9.661343,-9.703376,-4.5797653,41.84851,11.383115,-19.22337,1.7780148,33.52312,11.352958,-25.710148,-5.993665,-18.729164,31.00738,-43.654144,16.035004,-26.55727,37.65772,4.3487897,-32.936974,12.637561,15.173827,-38.87386,-30.209934,-20.377731,38.302944,43.509243,11.719623,-63.252754,30.58891,-27.434614,19.585735,20.89627,-6.806601,17.509703,29.14571,-4.7813945,16.627111,-8.697887,-1.5906469,-10.072606,10.550764,43.255962,-48.240437,22.424927,-19.149374,-22.26159,33.506947,25.003202,-0.46941653,-2.8620117,-51.780205,16.430382,-71.02804,7.288403,20.59516,-9.400234,18.102633,-4.450416,4.192226,28.521645,-0.089983314,30.999317,-15.561742,34.387417,-24.042673,-1.408918,1.2500402,16.751938,4.0200214,-44.17452,-34.092358,5.2205667,4.1016154,-24.436224,-0.17115845,19.922749,-7.1927986,51.94144,12.368716,3.814142,-28.153067,-19.421143,22.052227,-38.902443,41.26811,-14.252444,4.0575833,-6.026565,-13.64087,10.477568,26.271774,15.170347,-65.50358,15.194966,28.490446,38.722313,-7.4509764,8.975418,-15.984989
4,6.636996,-0.7145394,8.633906,6.3475256,2.563682,13.127814,-5.7238016,0.48541075,5.9866815,-0.06313733,-3.6508954,1.7991394,3.7835712,8.45936,-11.751526,0.9596882,1.3583164,-5.2832212,-2.1100848,14.378315,2.658638,3.5552769,-4.287749,-3.148851,-2.560375,0.5300682,-3.650824,-0.87813306,0.26450914,-3.4432585,-1.3022939,-2.2924914,11.456077,4.0536094,-4.252127,0.09607208,7.739591,-1.2270217,-4.7613764,0.3088213,1.1462233,7.12399,-10.777557,5.4212456,-3.366994,5.5701714,4.9151273,-4.479775,-4.0360756,6.3054953,-4.7860684,-6.7889786,1.5224913,14.7889185,13.001388,8.474447,-13.585065,11.154717,-9.835801,3.9110236,3.3164117,-2.877981,2.9764493,9.224872,1.5492806,4.2746654,-2.8535779,-0.60293317,-9.324984,4.6333127,10.84158,-11.562015,8.546138,-5.720827,-6.981533,10.579282,4.941777,-3.775632,0.5249764,-8.397471,2.3486252,-14.448995,-0.49702162,9.167861,-3.094449,5.281205,-2.8381014,-2.5070264,12.558147,-3.4785287,10.203045,-5.072274,8.824489,-1.9439263,-2.0740867,-3.420751,4.2490077,2.5327916,-6.0615406,-7.561861,3.018496,-3.4071922,-9.313056,-1.9098064,-0.56427944,0.08637039,12.506225,3.210293,-2.266358,-7.9183583,-9.393053,7.0909224,-7.6664786,14.640329,-2.3620052,5.9991913,-7.032955,-5.9131308,0.8493141,10.458136,5.651896,-13.316099,6.63265,10.127748,8.835665,-3.5769856,2.8023007,-6.790836
5,4.6591015,6.2179236,6.857386,5.982475,1.533684,19.816284,-10.069434,3.651193,9.404782,-3.609327,-2.7305512,1.8414419,7.372892,10.497768,-10.170474,3.4243748,2.709407,-3.7627823,-5.6473727,19.858732,1.1398064,4.6326466,0.45687747,-10.042225,-1.1703752,3.40118,-9.421759,-1.9116849,1.9015198,-5.2425585,-4.3779116,-5.8044634,15.027112,3.835931,-5.765899,-1.778128,15.901326,0.032902505,-7.7924914,-1.2589968,-4.5354037,10.682408,-15.261558,8.713001,-6.0975137,11.557862,6.1624365,-12.076653,2.8799827,9.152372,-15.230109,-8.73138,-5.916687,14.8025255,14.317599,9.881896,-20.48966,8.8829365,-9.996399,7.0085273,3.8782685,-7.4187503,6.427337,14.1591,-2.0715694,8.023987,-1.4401758,1.7236713,-6.3108406,8.569264,15.448597,-17.308712,9.533558,-7.3158245,-11.980475,16.052242,11.688156,0.7431788,1.1918144,-19.54006,6.4527154,-25.639229,4.789028,8.279743,-1.2074866,6.98782,-4.4866652,-1.3230373,15.826361,-2.0892062,14.879383,-3.8391845,16.243433,-5.990481,2.4578397,-2.4638505,6.143675,4.9244566,-11.079234,-12.828617,1.4915222,2.2093298,-11.829587,2.7400925,4.0037537,2.731966,19.980946,2.7864463,-1.4297687,-12.113602,-7.5906844,6.592308,-10.599487,16.31202,-6.271486,7.256124,-4.3248634,-8.655503,3.5135007,11.98317,6.6562634,-25.539616,7.486006,14.979506,13.115146,-4.580336,2.510544,-9.7334175
6,1.7349657,4.8117404,5.5656447,5.130725,0.13315535,24.218641,-16.996618,7.2443776,15.605429,-4.0592976,-3.033871,2.9917834,5.4964743,12.603722,-18.899767,3.0352333,7.453512,-1.9330966,-7.2265816,22.152954,2.9953945,2.478668,-3.8042557,-12.753227,-1.2086667,-4.1593814,-12.051638,-5.1307235,-2.290417,-4.5838256,-3.4095044,2.7087886,20.609737,7.8639135,-7.0554647,-0.3855054,20.240889,0.95139664,-15.447128,-3.0110316,-8.400224,16.893522,-17.56821,3.6368403,-10.980979,15.4945965,1.5578454,-12.299057,1.3533279,11.121407,-15.78136,-17.029663,-10.818734,21.966633,22.49591,6.255678,-27.440302,18.737875,-14.157041,5.4754024,8.746665,-1.8100953,5.089685,12.043712,-3.5678947,8.166747,-9.064968,1.127723,-6.469446,3.9181423,27.88539,-28.753868,12.09097,-12.104864,-9.99507,17.47732,8.782561,-3.1698961,-1.3387665,-27.944244,9.901195,-34.7357,3.7105992,15.778058,-4.6730123,10.287235,-4.474123,1.3970612,18.292215,2.1562002,19.300688,-4.1766944,17.502892,-15.5223055,-3.2506323,-0.24481566,3.5479465,-0.036828414,-15.768023,-14.154453,6.7483983,1.1202704,-12.943916,-2.3446512,10.781734,-3.3449485,23.44423,6.485267,-3.1087835,-16.446163,-12.017601,7.072835,-23.157785,22.817556,-3.9305959,8.834208,-3.4448066,-4.5188227,6.5141315,19.140406,3.5162222,-28.484026,9.015256,16.95173,11.000698,-3.8657115,7.094616,-3.5465984
7,8.1775255,-1.5560534,13.994904,9.29135,5.4891925,25.0587,-14.317679,-0.48506233,7.4867315,-0.8875813,-2.7940662,6.082084,4.5997176,15.247824,-19.85801,-3.5278218,1.8903644,-2.9860082,-7.066276,23.390041,5.2459583,3.3001149,-4.6664476,-7.013334,-3.9606905,0.67356384,-10.784973,-4.293459,0.65484345,-4.9832067,-4.931491,0.99766546,19.54158,7.490972,-4.7480855,-1.0922128,12.573484,-3.5161548,-6.6818633,0.60314274,0.58930326,11.119155,-16.98243,7.0957007,-6.671088,7.803289,9.578718,-9.758118,-12.052213,16.7395,-15.056229,-9.317423,0.668757,25.369576,26.545807,13.834317,-22.720749,20.254812,-17.823936,10.152262,9.746145,-4.5600533,-0.97091377,17.902834,-4.8746467,5.9703555,-0.027800664,-0.27720058,-13.791971,11.630291,25.89307,-18.437447,14.74288,-10.076981,-10.382433,21.144373,11.921076,-8.601324,-3.5059433,-16.976095,4.164392,-27.900484,-0.41771814,18.886068,-5.6314898,12.009533,-12.206914,-3.770439,18.414022,-3.2788951,16.838564,-6.33908,12.146895,-5.2647195,-1.5560579,-7.7516074,6.673829,5.217958,-12.421269,-12.863455,6.4564533,-2.2985873,-19.497507,-1.6205845,1.710727,0.8985908,19.684109,6.706593,-3.6531646,-17.903625,-13.872709,14.351733,-13.216821,22.186304,-0.7401738,10.87618,-12.496956,-15.753215,4.7176814,15.095872,7.1643696,-20.590532,5.6350684,17.231428,12.11112,-7.350907,9.274928,-7.5006166
8,11.667791,-6.4801307,12.889363,16.15858,1.7622592,36.392673,-16.980839,3.6039758,19.692074,0.85951024,-6.2033277,10.347354,5.62459,21.028894,-34.489414,1.1735055,9.386696,-13.247325,-10.094665,30.90343,8.611444,7.7173233,-15.7402725,-6.6562376,-5.2615614,-3.199958,-14.474324,-7.4261584,7.622535,-5.8836513,-3.0829268,1.2846905,30.072323,13.124239,-18.037268,0.5941424,19.519327,-1.9153862,-12.791536,0.86152434,-1.1920507,22.787897,-28.499529,4.729639,-14.352369,16.232454,12.273038,-9.073557,-16.914276,16.563154,-16.274155,-18.187042,1.307258,37.029793,41.644913,17.584877,-39.895367,33.46483,-31.20742,12.592664,12.419207,0.1590181,2.2503917,27.543066,-8.421899,11.796293,-4.1728206,-2.967547,-26.618305,12.819697,34.02548,-33.156612,20.585241,-20.236662,-15.168145,28.06543,11.874431,-8.518366,2.0682213,-23.70414,12.223364,-33.026897,-0.6997271,26.774029,-8.955497,16.28756,-9.473715,-7.7541122,29.455112,-7.020935,31.348658,-11.848937,26.502039,-6.387116,-6.758913,-9.544836,8.681855,4.495893,-20.646076,-14.8757305,10.046085,-3.2208335,-31.899883,-13.3084545,2.9797113,0.46635854,29.66441,11.395327,-8.954196,-21.861044,-24.137625,15.924838,-24.494585,37.93419,-2.915501,20.015024,-17.408264,-12.917089,5.1433406,26.5553,8.706928,-31.027708,12.132719,26.305231,12.762537,-8.252284,19.638412,-10.160522
9,6.439685,-2.522093,10.6753645,8.309685,1.2694726,14.446677,-7.5187798,0.67171997,7.4679785,0.37305185,-4.2440524,3.6243117,2.4280856,12.138615,-16.005196,0.7519798,6.2126455,-5.2365212,-3.7455492,14.109721,5.051352,3.4315677,-5.6450424,-3.7522395,-0.2913874,0.6901889,-4.6015415,-2.7116065,1.3819345,-3.7317133,0.18946077,-0.9268844,15.000409,6.099039,-6.4030266,-1.5326998,9.037951,-0.5249562,-4.2835574,0.9667891,2.4013312,11.1382885,-13.622226,4.648388,-3.7787204,7.2017417,5.688568,-5.546276,-7.6474543,6.026702,-5.230016,-6.2977457,-1.0284406,19.66955,18.661346,10.112535,-15.597647,14.461551,-11.409753,4.524912,4.6500487,-1.924038,3.2888412,13.570129,-1.5871496,3.0249457,-3.9019318,0.19139339,-11.492598,6.772395,14.555328,-14.081262,9.148639,-7.781552,-7.8682265,12.53826,6.786004,-5.68145,1.4909492,-11.56736,4.765553,-14.891257,-0.9751552,11.043851,-3.471698,9.173261,-5.764021,-2.9337244,13.996223,-4.4849486,13.946658,-5.5390625,10.643867,-1.2074653,-0.32598153,-5.733613,4.9807034,2.7793028,-8.211855,-6.539108,6.166761,-2.1714768,-14.103776,-5.230139,-1.9361088,0.45038205,12.979284,3.4813514,-3.6129355,-9.964464,-11.716885,7.543493,-10.582426,16.055342,1.147932,8.232023,-7.755051,-8.33103,3.507656,11.47873,4.0643387,-14.809111,6.475451,15.329073,7.3887844,-3.294998,6.275636,-6.684475
