,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,-11.170655,3.9050496,6.3858147,-6.927495,6.031421,-2.3707855,-8.367422,7.906106,13.044809,-0.6633631,-8.420553,4.5598726,5.2218027,-5.4349456,-10.684421,-11.757097,-3.7673848,8.578368,-6.488589,-4.241512,10.616085,-7.690207,3.64084,-0.18624844,4.4896274,2.2946472,-6.6451426,7.8259354,-1.8217124,7.9775395,-19.058413,-12.119124,9.976802,-1.833035,8.231742,6.381504,-5.008034,-2.5208554,7.327708,6.1738324,2.9237952,-16.33866,4.6350803,0.93349946,8.791523,-4.8330646,0.35304856,2.6505878,0.06509098,-15.190627,-5.2983003,9.763139,-0.43928725,4.449601,4.1265726,1.0369486,2.1186125,9.97908,-11.112507,-4.7982006,10.079317,1.7876502,-2.2095342,12.750586,-12.408274,0.9478188,-6.255191,-3.4066913,0.29379687,-1.4824107,3.9786878,-2.4468555,-7.569982,-1.202141,3.4098492,10.643753,-4.4967203,-4.100191,-0.4093923,-3.586776,-5.8277893,-5.156582,3.1022625,-4.765731,4.0774627,9.21394,-4.684516,5.5753155,-3.4233987,-2.4818084,7.758988,14.523596,-9.092369,-8.251303,-0.2871845,-7.200837,2.0808392,-3.1676495,8.182102,0.70670587,-11.601812,-2.822644,0.46454507,-3.281318,-7.9118276,1.8008597,-2.013572,-1.3965776,0.6988834,-6.787696,9.032962,0.47571373,8.071953,-9.512603,9.68547,1.0070243,-2.0485647,12.066323,3.9592674,-4.5895295,1.8326741,-4.598087,-21.55473,-5.411136,-5.0102553,11.887786,-1.0595906,3.3122437
1,-12.15813,3.6309552,6.384236,-12.1671715,8.506087,-1.6743542,-10.001772,8.441428,12.234729,-0.7163745,-13.586667,3.4505455,8.164392,-7.877206,-12.165165,-14.034646,-0.0007991195,11.077848,-5.6793313,-3.695468,9.762016,-10.357022,-2.086338,-1.8940054,4.572181,3.9982052,-7.8574095,9.506283,-2.4131625,9.733356,-20.687206,-12.310487,10.734028,-3.4506512,9.843182,13.3781,-4.096672,0.07085933,10.392593,7.403287,4.1334777,-18.358742,2.920672,-0.31066877,9.704185,-4.3716125,1.6457653,0.27731466,-1.3681253,-15.150739,-3.9306953,12.247514,2.573648,5.1308637,5.483028,1.6346216,2.2856255,11.6273155,-7.3310905,-2.067119,13.341265,0.797064,-7.6582155,19.52258,-13.488899,4.6037636,-8.417156,-3.3601344,1.4850987,-1.2345909,4.060019,-2.8283894,-8.030328,-4.7555127,-3.1646504,8.024417,-9.010522,-3.9005008,-4.4815784,-1.5490528,-5.0175443,-6.3082633,4.389864,-4.2840343,2.342024,12.727678,-7.4877625,6.9064345,-9.6811285,-4.1177077,5.681713,12.880105,-8.918982,-8.043997,0.015005576,-8.687722,2.7630572,-2.390492,10.682916,2.5063477,-11.077185,-2.0632787,-1.3807735,-8.894446,-7.0912676,3.7024744,-5.3299456,-4.3994174,-1.3621645,-8.597924,6.867313,0.79296213,2.6448207,-11.416553,10.909674,6.001654,-0.524757,16.366423,4.4483805,-8.874824,0.9699585,-9.875079,-23.663982,-9.890078,-2.0739102,12.1168375,-0.70701087,6.3180137
2,-6.907894,-4.449875,-1.4735055,-12.98662,2.7456374,-2.6910071,-5.2647896,-4.8848386,6.845796,-1.0482528,1.4264858,-2.422736,-0.709172,1.7078465,-5.389726,-11.484862,-6.060566,-3.3222232,-5.128105,-7.7536416,6.7038574,-12.085946,3.9083157,-2.459554,5.4378753,4.873056,-2.2172391,9.22182,-0.14148018,8.212142,-13.334083,-14.452895,6.8107085,-0.20453256,-1.5840495,11.038667,-8.508113,-0.63593066,6.6874137,6.292357,4.5725665,-8.936808,-3.1414077,-8.164684,0.4515934,3.4124584,0.40018663,-0.5693132,-0.6834612,-9.719528,-0.32632616,-0.3671426,-1.7398827,-1.2065082,-2.3963819,5.392236,8.568548,9.533924,0.52564824,3.3726823,2.970995,2.2581272,-9.300724,10.4837885,-12.516676,-7.7876334,-5.21473,1.3932233,-0.19710162,-6.7913837,8.451819,-9.125148,-5.3054066,-5.7320247,2.1120715,-1.1862236,-7.5646796,-1.338071,-0.46825197,3.6680307,0.58720005,-3.1587834,-0.86047626,-1.3032105,-2.0155573,-0.3260343,0.34675607,4.677551,-3.2191758,-4.3260016,3.8834414,7.3111057,-10.278132,-8.042381,1.0400541,-5.5872188,1.4983125,5.2098637,6.726301,-0.7037135,-6.81022,-5.263687,-2.7619905,-6.4570975,-4.899141,5.889565,2.086176,5.642495,3.862218,-5.4961166,4.3754086,-0.49135154,2.995202,2.9594193,3.411189,1.9842367,-1.0168209,11.17803,-3.8380876,0.9302101,-1.3217039,-9.556692,-11.46427,-3.2526126,9.646074,9.201872,5.224574,0.49434337
3,-13.922696,3.4737947,5.798665,-9.614011,8.469826,-3.7766657,-9.44945,11.004335,13.295191,-0.6212825,-10.808158,3.7223613,6.0861416,-7.5265203,-12.154322,-15.329133,-0.8627423,8.272289,-6.727015,-5.616172,12.1989155,-8.964091,3.1114912,2.9002473,3.6540868,4.1642566,-6.5667443,5.8822875,-0.9467332,8.636321,-19.527775,-11.914175,12.38801,0.643907,6.9363556,7.177955,-5.023349,-3.114243,9.883832,5.279826,2.9067805,-17.1233,1.5287313,0.0020164289,6.387131,-7.414023,0.48549452,3.836651,-0.08711078,-16.622316,-5.6804743,11.84555,4.26966,2.786518,5.2229013,-0.52695227,2.8277302,7.2222567,-13.814142,-4.3849134,8.251715,1.5126591,-2.208831,16.523365,-16.41377,2.2369862,-5.503218,-5.4634976,-0.87852603,1.8037206,4.605104,-3.301677,-8.217284,-2.3512905,3.779086,9.065796,-6.6654162,-7.2069855,-0.047525637,-6.6485205,-6.131295,-7.9179296,3.5795808,-1.42327,3.4872518,8.093475,-7.515303,4.3998747,-6.0849605,-2.0037506,7.640148,13.451042,-10.642922,-8.904529,-0.9869436,-7.1760106,-0.6749605,-1.7760903,4.353566,0.67256814,-9.5948925,-2.9993048,-0.9836038,-3.9274194,-6.066828,1.3163882,-3.8357568,-1.4537041,2.471051,-9.991146,10.900655,4.038503,8.770623,-10.704738,10.572758,-0.30328217,-3.776346,12.807989,-0.055557355,-4.4306054,1.9980603,-5.0136166,-19.232374,-3.7315264,-4.854336,17.699667,2.068986,4.9195557
4,-9.425787,-3.480757,1.9976714,-8.967802,1.5705014,1.0192028,-8.553303,-0.9394299,3.8573773,2.2751503,-3.749194,-4.3517556,2.8252306,-1.0893071,-5.7734337,-6.929378,-0.32523245,0.9079173,-3.780276,-12.035535,1.8074048,-12.932125,5.041215,-4.4731693,-1.1416489,5.1280627,-8.952534,6.71623,0.6299643,5.6487527,-15.097044,-14.102331,2.584204,-7.4758153,11.085948,8.022414,-8.090597,1.2208517,7.248055,1.7898028,0.29955235,-9.863788,-2.8914535,-7.523678,2.2898426,1.5017943,0.3255704,-2.3615255,-2.896041,-14.299787,-5.7896686,2.0319963,1.1915692,3.7923343,2.4740825,1.0644746,7.172515,10.507609,-7.2031965,4.5786905,10.046374,-2.2641954,-9.91426,11.027335,-20.41364,-8.990284,-3.5473626,3.8952901,-2.9160044,-5.5795755,4.516884,-7.25057,-5.4946995,-11.101929,5.4041038,0.16899058,-1.460521,-6.064088,0.086629644,3.1720448,-0.60385966,-1.9484842,-4.2535367,-1.3593316,-2.4380066,6.474107,-3.6317012,10.517825,-9.758941,3.7621737,-3.0225651,14.54799,-9.038716,-9.810532,-3.98391,-8.687823,0.53587735,0.4375287,8.159246,-1.3561026,-14.937635,-6.3444633,-2.293441,-7.127053,-4.561649,1.060426,3.673031,1.470386,3.0418797,-7.3137813,8.895922,-1.1909375,7.211628,3.8422577,8.721884,-0.4410742,-5.11765,10.272189,-3.6597593,-1.9190599,6.101129,-12.29343,-18.021185,-4.56944,5.8313365,11.024369,4.619593,4.7293544
5,-8.832132,-0.092430994,6.659661,-14.522348,4.239647,-5.565078,0.6612943,0.94792396,9.958834,1.170654,-10.121638,-3.1269097,8.738069,-2.625238,-9.428933,-10.498822,-8.295682,4.4754243,-1.7472225,-4.260553,6.9208055,-12.146816,-2.139322,-1.4938209,3.630961,8.586994,-0.22309238,11.0458975,1.0081831,4.7142916,-10.810094,-9.7940035,8.297067,2.107626,1.103634,16.123152,-7.9998507,-0.76661414,8.215715,-0.7970779,5.7827096,-7.4216337,-3.6923714,-4.5996866,2.494703,-1.8039001,-1.1150389,0.04422292,4.210769,-9.130468,3.2225366,7.595818,-4.035243,0.57609296,1.2588696,5.167377,-0.21527325,9.136643,3.512491,4.737437,8.942818,7.9651732,-4.1571894,18.240803,-10.000998,-0.5833413,-4.1155233,2.2071207,-3.5262418,-9.0103035,9.739291,-0.93839186,-6.705476,-3.8444345,-1.3594701,-2.9242785,-9.912144,-10.744735,-4.2770157,-1.2436882,8.706597,-7.8389397,8.582523,2.6506467,-0.6635355,3.4143522,-8.693376,3.811574,-1.491429,-7.711039,0.7243305,8.515163,-6.605211,0.90221554,6.2675114,-2.9743443,0.22963925,-0.64704996,6.7860117,2.0558934,-4.4013696,-3.037034,-2.474227,-8.874761,-9.857323,2.2522562,-2.1647635,-1.4468628,-2.2513537,-10.37019,1.956007,-0.8365651,2.9581647,-3.5544012,5.735609,6.3668604,1.8381088,7.3917994,-0.6090659,-1.4802883,-6.275917,-10.5126,-14.364267,-4.158584,1.5020652,12.147371,5.6189227,3.2256048
6,-8.126677,2.331593,6.5547595,-12.393928,7.767166,5.103374,-7.881103,5.0334296,7.587487,0.43368435,-8.610251,4.5713935,8.801822,-3.2473063,-6.784703,-9.062846,0.7138671,8.489887,-3.8549752,-5.548728,16.61681,-8.183354,0.04906039,2.7608206,1.1606897,8.493936,-6.4229198,6.4121423,2.0976331,7.708137,-15.918154,-6.699387,7.238497,1.0725299,6.7201433,6.875595,-12.18869,-3.9172106,9.474522,12.750645,6.773215,-15.520713,0.569941,-0.81695145,-0.8382172,-5.3440433,-7.5813146,2.3966062,2.542483,-11.336052,-3.7705333,11.39912,-1.3977076,-0.58081746,5.822709,-1.0208299,-1.620867,-1.0276415,-7.6766524,2.4373646,6.397575,1.1118693,-3.9487615,15.73911,-12.683796,4.2437196,-7.669256,-1.0416245,4.091538,0.757769,13.582389,-0.53153014,-13.510372,-2.7179601,5.265723,8.975383,-12.6572695,-6.484568,-5.214872,-4.1535535,2.2383747,-9.279621,4.5213113,1.1326121,-0.6694891,2.4131846,-7.1110206,-3.9197884,-1.0509524,-5.2937527,1.3561805,10.554934,-7.298308,-7.111161,2.2057328,-7.247509,7.08542,-6.8624654,8.579485,-3.7817833,-2.7059953,-1.4942571,-2.3704166,-2.9022317,-5.754943,8.115802,-0.68151647,-2.4433475,4.2615666,-9.090924,8.425851,1.8012588,9.585492,-5.478486,6.02039,2.4456034,-6.0325522,7.1305285,-0.43733084,-5.6643467,6.526249,-1.580389,-10.888996,-4.8165426,2.2908874,14.294246,-3.6336274,-0.7341382
7,-6.3393707,1.7562249,5.8515487,-13.999452,6.3978477,3.6370487,-7.77981,-0.85071725,14.941521,3.4345586,-6.9234385,0.99278224,8.253019,-4.297301,-7.2202787,-13.274581,-6.0815034,0.52366316,-5.983192,-2.325768,5.341131,-10.309846,-3.2942395,-2.888527,0.66023815,10.72534,0.17833066,4.146284,-2.8366055,7.307916,-20.568365,-14.578919,11.536905,-0.8198429,1.3411467,12.159348,-9.66168,-1.5888698,7.8058314,-3.7084982,4.356048,-12.130267,-8.722914,-3.2813466,4.3865385,-0.6833352,-1.5114198,-3.0473833,-0.89640594,-14.858639,-2.3858495,13.16641,-2.976669,0.98777485,4.30871,3.1785579,0.65710485,11.192473,-3.5980213,4.1392684,11.072605,7.2271614,-6.737501,13.851918,-16.45734,-2.8678243,-7.849718,-0.7875167,-1.9303224,-1.405137,15.274802,-7.248834,-4.3072634,2.4813411,3.3955839,-4.977279,-7.08145,-7.66853,-2.6046498,-2.461138,0.031377118,-5.855324,4.8734093,0.8466328,1.6739326,9.183915,-3.1761806,1.7590468,-3.4297607,-4.547919,1.2058957,9.311923,-13.685219,-8.98012,-5.9806213,-5.7608585,-4.1267214,0.07996437,6.1903234,-4.2083206,-12.875342,-3.2896507,-4.1445785,-2.8425343,-7.360015,7.461447,-3.7397354,1.962328,7.557694,-7.106012,4.908207,-2.0359614,7.050924,-3.5981941,11.510007,-2.1852512,-3.7315035,14.167817,2.7862039,-8.35752,0.6482645,-13.3234415,-18.02252,-1.2778699,1.0843205,14.021529,-0.61958355,7.4744444
8,-3.3690517,-7.123177,3.2429898,-6.668096,-0.111869685,-3.618454,-1.6765343,-5.5742955,3.4870925,0.3797681,-1.0923674,-6.9645014,5.5806,-0.87088054,-4.6906314,-6.554194,-5.9598594,-3.1639545,-1.8481027,-9.280598,-0.9501365,-6.433541,1.7763146,1.818704,4.6647496,1.9979796,-2.6537464,4.8707666,0.163757,3.6774628,-13.094422,-7.2956705,5.860887,-4.604052,5.5957603,6.5592327,-3.1986492,2.203834,5.930516,-4.4502587,6.5383067,-6.394779,-2.1268651,-2.4174812,-1.7744098,5.1322865,-0.42562553,-1.7175931,-0.119487256,-8.065088,-0.17672564,3.8824492,-2.2361243,1.8187873,3.9155293,4.255562,6.822545,6.54577,-3.9228456,3.6956139,6.139587,0.5950781,-6.5389915,8.964966,-12.13872,-6.640406,-3.0411203,0.13686642,-4.8263173,-3.423798,1.5958722,-7.4794917,-5.8688264,-10.460947,5.9482994,1.7446558,-2.2630582,-8.381841,-4.3749456,2.724357,1.1398772,-1.8274314,-4.6650653,1.8569813,-2.828463,1.26827,-2.713704,9.452885,-9.678879,-0.5488732,-1.7416096,4.634473,-3.586453,-5.02066,-3.4506748,-4.749141,3.0057194,0.42822367,2.8530679,4.5799294,-9.158715,-3.2885525,-0.3008294,-6.0612564,-7.15086,4.2273927,1.6525023,-0.8949157,0.51869607,-5.1864505,5.2653604,-0.39571166,2.3092499,3.9232426,0.8993608,-3.7249749,-1.6672341,4.525836,-3.7362862,-0.07106808,0.8618139,-10.284731,-11.569536,1.6659225,2.7019331,13.284961,7.312426,6.144932
9,-8.136498,-0.7942019,-0.5234829,-17.210201,-2.393826,-1.5812892,-11.941303,-2.5208845,10.543597,2.1751685,-1.9226254,1.1017426,5.5523186,-3.8381565,-5.381301,-16.698923,-8.873962,-1.3988329,-6.573972,-4.571984,6.0398154,-11.782861,-0.6732994,-0.22204575,7.5625286,8.393937,-1.1860846,10.55831,1.4819484,10.326231,-18.218624,-17.604124,10.7113905,-5.597739,3.8143284,13.572503,-4.306998,-3.3010232,12.277182,9.716228,5.3746033,-14.609663,-3.845763,-1.1509237,2.5834734,-1.6028137,0.7216458,-4.4640503,2.3818843,-12.136463,-2.0195765,8.084909,1.3897895,-0.50480103,3.0137157,8.946541,14.235699,9.655222,0.65138847,7.460119,4.1853676,0.9808936,-10.8559265,17.005283,-16.708134,-8.065265,-6.9034667,-7.7951355,1.7885556,-2.2502446,12.100916,-4.058733,-3.3198533,-3.843465,6.304696,-2.1799936,-9.54062,-3.0047138,-2.0360813,1.5550709,-4.6461406,-8.644869,-0.09844994,5.688717,-7.005187,3.7232485,-4.5841722,0.56734246,-7.7811384,-6.8759036,4.44423,5.608442,-8.406692,-4.568327,-4.1415234,-4.8057065,2.7610621,-1.3468459,5.8292165,-5.990926,-10.233497,-4.171717,-2.2014837,-7.2124357,-2.4826894,5.7196236,-2.5170472,5.691855,9.481288,-5.152466,2.8725226,0.39387482,-0.8312037,4.646481,9.376605,5.1132617,-5.561723,15.860337,-0.2250893,-4.795031,1.4787859,-17.995287,-15.267279,-3.2228448,2.1021807,15.633924,5.0735383,1.7749383
